category,min,max,mean,stddev,sum,count
11,6.5,40.2,18.9799126638,6.13225138182,4346.4,229
10,7.8,26.6,14.852284264,3.44853671429,2925.9,197
13,14.9,56.3,35.414379085,7.52244657011,10836.8,306
12,0.2,39.7,22.0486725664,6.6472733263,4983.0,226
15,4.7,52.6,19.8134453782,6.7455367256,4715.6,238
14,14.0,61.5,36.7023890785,8.67551434022,10753.8,293
1,0.0,63.3,20.0993920973,13.5783700707,6612.7,329
3,0.0,36.1,16.6980314961,5.09152943613,4241.3,254
2,0.7,52.6,37.9923857868,6.51735461025,7484.5,197
5,6.4,36.7,20.6862385321,5.79730539488,4509.6,218
4,0.0,34.5,9.59206349206,6.83089540104,2417.2,252
7,0.3,36.1,16.5844,8.50365599617,4146.1,250
6,10.4,42.1,27.6441860465,5.51286949407,5943.5,215
9,0.7,23.1,9.45161290323,4.10304074199,1758.0,186
8,0.0,14.8,4.18950617284,3.27669368323,678.7,162
