category,min,max,mean,stddev,sum,count
216,36.4,45.9,41.2125,2.94978812798,329.7,8
217,28.2,38.7,33.8111111111,4.50733969333,304.3,9
214,33.7,41.5,36.75,2.40612643983,367.5,10
215,37.1,46.9,41.5,4.04192316319,332.0,8
212,36.5,40.7,39.0166666667,1.56130287474,234.1,6
213,34.5,40.7,36.9285714286,2.5051375782,258.5,7
210,30.0,42.2,36.3333333333,3.97712207507,327.0,9
211,27.8,41.2,36.4333333333,5.1940992161,218.6,6
915,1.7,8.0,4.9,2.08614476966,53.9,11
218,25.4,39.2,33.1,4.86033508545,264.8,8
219,24.1,37.4,30.1125,4.17729834086,240.9,8
133,28.0,39.7,35.13,3.50207874777,351.3,10
132,23.2,45.5,35.5181818182,7.74000234907,390.7,11
131,23.7,50.6,34.8,7.40768831376,487.2,14
911,6.2,18.1,12.1666666667,3.09143489289,146.0,12
137,28.0,39.1,32.7111111111,3.95614851985,294.4,9
136,23.7,35.6,30.45,3.73133449892,243.6,8
135,27.8,43.6,34.0375,6.46284711696,272.3,8
134,22.8,38.3,29.8285714286,4.00277376355,417.6,14
327,8.8,18.5,14.0,3.25064096244,98.0,7
139,32.1,45.2,37.66,4.71055552279,376.6,10
138,30.5,43.6,35.9,4.32589104501,359.0,10
93,8.6,23.1,14.9307692308,3.94068196623,194.1,13
24,38.5,51.0,44.41,3.68614523136,444.1,10
25,40.2,48.5,44.5444444444,3.27532865187,400.9,9
26,36.6,50.4,42.48,5.77288681876,424.8,10
27,31.4,46.8,40.5333333333,5.52833609687,364.8,9
21,0.0,0.7,0.35,0.494974746831,0.7,2
22,35.6,51.4,43.8875,6.21322035203,351.1,8
23,36.5,52.6,43.05,5.60051018084,344.4,8
914,0.7,7.5,2.85,2.81513765205,28.5,10
28,36.9,45.9,40.4375,3.39745177617,323.5,8
29,35.6,46.9,39.3888888889,3.09896936273,354.5,9
94,8.1,14.1,10.9454545455,1.91016420046,120.4,11
321,11.4,19.0,15.92,2.80982403561,159.2,10
97,6.1,15.1,10.8428571429,2.24421111228,151.8,14
324,11.3,26.6,15.2,4.98973947216,136.8,9
810,3.1,7.0,4.75,1.33416640641,38.0,8
1520,16.4,29.7,22.4916666667,3.8953254814,269.9,12
812,4.3,12.9,8.05714285714,2.91882233264,56.4,7
813,0.0,5.1,2.5375,1.69447632028,20.3,8
814,0.5,4.6,1.81,1.25649424104,18.1,10
815,0.0,2.3,0.86,0.70584858307,8.6,10
619,24.6,35.8,30.825,4.30838053764,246.6,8
1521,17.9,34.9,25.1615384615,4.80893932545,327.1,13
1317,27.1,43.2,35.4818181818,4.84144982042,390.3,11
1316,21.9,35.8,30.7384615385,3.62020682225,399.6,13
1315,25.7,38.1,32.8666666667,3.49579834381,394.4,12
1314,35.1,52.5,43.0090909091,5.76722715791,473.1,11
1313,18.7,54.7,40.6357142857,11.9968974927,568.9,14
1312,25.5,56.3,38.72,10.5073307743,387.2,10
