Codigo;univCompMas;Total;Comuna;Fraccion;Radio;CO_FRAC_RA;COFRAC
20010101;6;91;1;1;1;1_1_1;11
20010201;4;161;1;2;1;1_2_1;12
20010202;2;132;1;2;2;1_2_2;12
20010203;1;104;1;2;3;1_2_3;12
20010204;0;164;1;2;4;1_2_4;12
20010205;1;95;1;2;5;1_2_5;12
20010206;1;215;1;2;6;1_2_6;12
20010207;2;151;1;2;7;1_2_7;12
20010208;2;145;1;2;8;1_2_8;12
20010209;2;156;1;2;9;1_2_9;12
20010210;1;88;1;2;10;1_2_10;12
20010211;2;201;1;2;11;1_2_11;12
20010212;2;366;1;2;12;1_2_12;12
20010213;5;162;1;2;13;1_2_13;12
20010214;6;262;1;2;14;1_2_14;12
20010215;2;278;1;2;15;1_2_15;12
20010216;9;444;1;2;16;1_2_16;12
20010217;3;227;1;2;17;1_2_17;12
20010218;3;148;1;2;18;1_2_18;12
20010219;0;200;1;2;19;1_2_19;12
20010301;1;191;1;3;1;1_3_1;13
20010302;3;161;1;3;2;1_3_2;13
20010303;2;200;1;3;3;1_3_3;13
20010304;4;136;1;3;4;1_3_4;13
20010305;2;414;1;3;5;1_3_5;13
20010306;6;342;1;3;6;1_3_6;13
20010307;1;148;1;3;7;1_3_7;13
20010308;3;258;1;3;8;1_3_8;13
20010309;6;380;1;3;9;1_3_9;13
20010310;2;261;1;3;10;1_3_10;13
20010311;3;268;1;3;11;1_3_11;13
20010312;2;182;1;3;12;1_3_12;13
20010313;4;118;1;3;13;1_3_13;13
20010314;2;148;1;3;14;1_3_14;13
20010315;3;310;1;3;15;1_3_15;13
20010316;2;254;1;3;16;1_3_16;13
20010317;0;190;1;3;17;1_3_17;13
20010318;4;231;1;3;18;1_3_18;13
20010319;3;343;1;3;19;1_3_19;13
20010320;1;115;1;3;20;1_3_20;13
20010321;2;109;1;3;21;1_3_21;13
20010322;2;205;1;3;22;1_3_22;13
20010323;3;267;1;3;23;1_3_23;13
20010401;201;663;1;4;1;1_4_1;14
20010402;212;616;1;4;2;1_4_2;14
20010403;164;469;1;4;3;1_4_3;14
20010404;259;604;1;4;4;1_4_4;14
20010405;145;384;1;4;5;1_4_5;14
20010406;208;486;1;4;6;1_4_6;14
20010407;185;549;1;4;7;1_4_7;14
20010408;169;451;1;4;8;1_4_8;14
20010501;132;257;1;5;1;1_5_1;15
20010502;105;240;1;5;2;1_5_2;15
20010503;163;405;1;5;3;1_5_3;15
20010504;218;490;1;5;4;1_5_4;15
20010505;108;242;1;5;5;1_5_5;15
20010506;164;365;1;5;6;1_5_6;15
20010507;112;270;1;5;7;1_5_7;15
20010601;166;326;1;6;1;1_6_1;16
20010602;110;210;1;6;2;1_6_2;16
20010603;246;426;1;6;3;1_6_3;16
20010604;207;397;1;6;4;1_6_4;16
20010605;66;169;1;6;5;1_6_5;16
20010606;122;254;1;6;6;1_6_6;16
20010607;96;227;1;6;7;1_6_7;16
20010608;118;296;1;6;8;1_6_8;16
20010609;208;419;1;6;9;1_6_9;16
20010610;82;193;1;6;10;1_6_10;16
20010701;107;264;1;7;1;1_7_1;17
20010702;48;119;1;7;2;1_7_2;17
20010703;43;126;1;7;3;1_7_3;17
20010704;94;279;1;7;4;1_7_4;17
20010705;49;147;1;7;5;1_7_5;17
20010706;19;82;1;7;6;1_7_6;17
20010707;72;249;1;7;7;1_7_7;17
20010708;65;240;1;7;8;1_7_8;17
