category,min,max,mean,stddev,sum,count
11,12.0,120.0,58.9475982533,20.5169347232,13499.0,229
10,19.0,101.0,46.2944162437,13.9087631784,9120.0,197
13,29.0,251.0,116.611111111,38.8131599375,35683.0,306
12,1.0,234.0,78.0707964602,35.3111167423,17644.0,226
15,12.0,151.0,60.4411764706,24.5790446638,14385.0,238
14,1.0,338.0,130.300341297,56.0838282177,38178.0,293
1,0.0,259.0,52.3121212121,46.3464176624,17263.0,330
3,0.0,133.0,53.5118110236,23.7812382095,13592.0,254
2,1.0,309.0,140.406091371,52.5444181724,27660.0,197
5,14.0,237.0,74.5688073394,35.5480766096,16256.0,218
4,0.0,137.0,28.5515873016,23.8925490865,7195.0,252
7,1.0,151.0,53.292,32.4899542089,13323.0,250
6,27.0,298.0,97.8930232558,38.6223350431,21047.0,215
9,2.0,73.0,28.6505376344,13.9470591584,5329.0,186
8,0.0,57.0,13.3271604938,11.0390781002,2159.0,162
