category,min,max,mean,stddev,sum,count
216,90.0,159.0,126.625,19.6391554954,1013.0,8
217,48.0,177.0,140.555555556,42.5267889427,1265.0,9
214,59.0,222.0,147.0,51.5730334359,1470.0,10
215,99.0,296.0,149.875,61.9549087182,1199.0,8
212,161.0,257.0,201.5,41.3412626803,1209.0,6
213,137.0,234.0,197.857142857,40.4368996975,1385.0,7
210,73.0,183.0,136.777777778,33.9403070765,1231.0,9
211,47.0,277.0,170.5,101.846453056,1023.0,6
915,5.0,27.0,14.1818181818,6.7054929993,156.0,11
218,79.0,215.0,121.125,44.7770269542,969.0,8
219,88.0,156.0,112.0,22.5895045162,896.0,8
133,91.0,176.0,119.8,31.3255309434,1198.0,10
132,60.0,203.0,126.636363636,44.9939389858,1393.0,11
131,65.0,213.0,103.785714286,42.3014430949,1453.0,14
911,19.0,72.0,43.5833333333,14.6067128611,523.0,12
137,62.0,160.0,116.222222222,31.1720138016,1046.0,9
136,67.0,149.0,118.75,28.2729047474,950.0,8
135,98.0,189.0,140.25,35.3502879358,1122.0,8
134,54.0,235.0,106.642857143,40.8027283078,1493.0,14
327,28.0,74.0,48.2857142857,14.8404209926,338.0,7
139,82.0,214.0,121.9,41.1378441611,1219.0,10
138,89.0,197.0,128.5,33.0193545936,1285.0,10
93,27.0,73.0,40.4615384615,11.983428729,526.0,13
24,42.0,204.0,120.3,51.4739416275,1203.0,10
25,106.0,159.0,130.444444444,20.68278941,1174.0,9
26,70.0,269.0,116.5,60.6872675645,1165.0,10
27,54.0,260.0,141.444444444,63.8555226882,1273.0,9
21,1.0,1.0,1.0,0.0,1.0,1
22,58.0,186.0,108.25,40.2483362567,866.0,8
23,42.0,175.0,120.25,44.7844041731,962.0,8
914,2.0,29.0,9.8,9.34285228872,98.0,10
28,128.0,309.0,186.5,60.5073785347,1492.0,8
29,86.0,253.0,180.333333333,45.7192519624,1623.0,9
94,22.0,42.0,33.8181818182,7.45410198237,372.0,11
321,25.0,66.0,50.1,15.4232868669,501.0,10
97,15.0,35.0,29.8571428571,5.85540043769,418.0,14
324,26.0,79.0,44.1111111111,16.4122244413,397.0,9
810,12.0,50.0,23.0,13.1148770486,184.0,8
1520,37.0,103.0,70.0,16.1526806106,840.0,12
812,13.0,44.0,25.0,10.3279555899,175.0,7
813,0.0,17.0,6.875,5.40997755475,55.0,8
814,3.0,12.0,6.2,3.11982905515,62.0,10
815,0.0,10.0,4.1,3.24722103412,41.0,10
619,89.0,227.0,143.875,45.4829245824,1151.0,8
1521,36.0,117.0,78.3076923077,26.631386919,1018.0,13
1317,83.0,172.0,130.363636364,32.3365821548,1434.0,11
1316,40.0,137.0,103.538461538,29.669331485,1346.0,13
1315,67.0,140.0,112.75,20.3296693172,1353.0,12
1314,62.0,161.0,117.818181818,35.6225158624,1296.0,11
1313,29.0,251.0,132.5,59.9676194676,1855.0,14
1312,73.0,198.0,113.5,42.9217634514,1135.0,10
1311,65.0,150.0,93.4285714286,28.6231674398,654.0,7
1310,78.0,176.0,127.090909091,32.9467890559,1398.0,11
717,1.0,11.0,4.90909090909,3.23896728772,54.0,11
716,19.0,50.0,36.1111111111,10.4695325164,325.0,9
715,11.0,33.0,20.5454545455,6.12149714308,226.0,11
325,23.0,123.0,52.4444444444,34.1434880728,472.0,9
713,29.0,113.0,61.4666666667,25.0395877039,922.0,15
712,23.0,103.0,56.0,23.885141825,504.0,9
1319,62.0,163.0,117.916666667,28.7448282568,1415.0,12
1318,82.0,180.0,117.3,29.0748077284,1173.0,10
120,22.0,54.0,39.2,11.1435083245,392.0,10
121,19.0,102.0,46.3333333333,16.921386862,973.0,21
122,31.0,91.0,56.9444444444,17.3966603361,1025.0,18
123,1.0,92.0,47.0,23.5584379788,987.0,21
124,18.0,137.0,58.8333333333,28.7263969609,1059.0,18
125,22.0,206.0,74.1818181818,39.0087125355,1632.0,22
126,26.0,92.0,59.4736842105,18.0842731585,1130.0,19
127,11.0,187.0,64.55,47.4457862363,1291.0,20
128,13.0,167.0,62.2916666667,48.7303843851,1495.0,24
129,11.0,81.0,44.6875,22.2102641437,715.0,16
423,6.0,37.0,18.5,9.49162310097,222.0,12
84,10.0,25.0,16.2727272727,4.69235354787,179.0,11
54,60.0,140.0,90.8888888889,28.5632825689,818.0,9
422,17.0,83.0,45.75,21.8512533445,549.0,12
59,46.0,113.0,70.3,19.7768102135,703.0,10
58,41.0,146.0,95.3333333333,30.8139578763,858.0,9
55,67.0,164.0,90.875,31.2704218986,727.0,8
425,2.0,15.0,6.5,5.80229839518,26.0,4
57,38.0,149.0,85.125,41.3674734199,681.0,8
56,77.0,176.0,119.25,29.5477821261,954.0,8
51,42.0,121.0,82.3,25.6127138568,823.0,10
53,14.0,102.0,57.1818181818,23.6381817483,629.0,11
424,0.0,5.0,2.0,2.09761769634,12.0,6
1418,102.0,219.0,153.375,37.8641839813,1227.0,8
1419,89.0,257.0,194.6,65.4469250615,973.0,5
416,9.0,108.0,35.3,28.3315685725,353.0,10
417,17.0,61.0,40.6,14.1201196092,406.0,10
410,0.0,24.0,4.33333333333,7.79422863406,39.0,9
411,12.0,55.0,24.6666666667,12.9807549857,222.0,9
412,11.0,70.0,31.6666666667,18.0470764862,380.0,12
413,25.0,123.0,68.1818181818,32.1584147054,750.0,11
1410,1.0,1.0,1.0,0.0,1.0,1
1411,59.0,240.0,143.642857143,54.8951548133,2011.0,14
1412,40.0,126.0,83.1818181818,25.4943844084,915.0,11
1413,37.0,119.0,69.0833333333,21.6015922533,829.0,12
1414,50.0,184.0,109.636363636,46.8855472982,1206.0,11
1415,97.0,328.0,143.125,75.4859258405,1145.0,8
1416,54.0,302.0,184.857142857,84.4875307791,1294.0,7
1417,67.0,275.0,163.5,61.8546683768,1308.0,8
1322,82.0,218.0,147.888888889,54.5812340563,1331.0,9
1323,86.0,202.0,130.454545455,43.7866729413,1435.0,11
1320,73.0,152.0,117.75,26.3925781578,1413.0,12
1321,50.0,214.0,147.2,45.5016483218,1472.0,10
1326,47.0,134.0,81.9090909091,25.8281030874,901.0,11
1327,65.0,181.0,139.111111111,37.3177050622,1252.0,9
1324,84.0,153.0,107.2,20.4276501069,1072.0,10
1325,62.0,114.0,88.0,16.4142794977,704.0,8
1120,26.0,82.0,45.7272727273,14.8397500592,503.0,11
1121,29.0,67.0,45.0909090909,12.8176015343,496.0,11
1122,28.0,67.0,51.8181818182,11.6173850915,570.0,11
1329,31.0,114.0,79.4545454545,26.6209077094,874.0,11
317,25.0,54.0,35.8888888889,8.49182613524,323.0,9
316,21.0,129.0,59.3333333333,33.9742549587,534.0,9
315,17.0,108.0,65.8888888889,30.2260005808,593.0,9
314,3.0,102.0,44.1,26.4594028655,441.0,10
