category,min,max,mean,stddev,sum,count
11,102.0,696.0,312.082969432,57.5721295717,71467.0,229
10,183.0,515.0,311.979695431,60.3461071391,61460.0,197
13,132.0,613.0,328.578431373,83.2162227573,100545.0,306
12,104.0,721.0,347.610619469,84.0348005825,78560.0,226
15,175.0,737.0,304.659663866,65.3624568938,72509.0,238
14,6.0,888.0,351.361774744,119.72253384,102949.0,293
1,0.0,663.0,256.539393939,110.704788131,84658.0,330
3,43.0,716.0,317.102362205,90.5663632946,80544.0,254
2,100.0,707.0,371.401015228,130.144647153,73166.0,197
5,149.0,840.0,352.582568807,111.092999065,76863.0,218
4,23.0,1093.0,303.630952381,125.185641887,76515.0,252
7,124.0,765.0,326.136,89.8397809937,81534.0,250
6,145.0,839.0,349.837209302,105.325159688,75215.0,215
9,170.0,659.0,303.849462366,59.9860247214,56516.0,186
8,20.0,1057.0,359.450617284,176.480113513,58231.0,162
