category,min,max,mean,stddev,sum,count
216,196.0,386.0,309.625,56.1399717543,2477.0,8
217,169.0,577.0,416.666666667,131.601671722,3750.0,9
214,175.0,605.0,399.9,139.303385936,3999.0,10
215,266.0,631.0,356.75,119.57753014,2854.0,8
212,402.0,704.0,518.5,117.020938297,3111.0,6
213,382.0,647.0,535.285714286,103.120826034,3747.0,7
210,209.0,519.0,378.888888889,97.9661222623,3410.0,9
211,169.0,672.0,446.0,232.215417232,2676.0,6
915,217.0,348.0,289.818181818,40.2413175277,3188.0,11
218,250.0,548.0,363.0,103.097734491,2904.0,8
219,305.0,499.0,373.75,66.1702350003,2990.0,8
133,271.0,448.0,338.7,65.557523511,3387.0,10
132,239.0,545.0,355.636363636,102.155051493,3912.0,11
131,185.0,421.0,293.071428571,67.5613274517,4103.0,14
911,292.0,431.0,352.583333333,46.2433451396,4231.0,12
137,221.0,476.0,353.111111111,81.6569722137,3178.0,9
136,283.0,454.0,385.25,56.2919684705,3082.0,8
135,327.0,530.0,411.875,69.3530048788,3295.0,8
134,237.0,613.0,351.714285714,91.0970983,4924.0,14
327,306.0,400.0,341.285714286,34.1843740409,2389.0,7
139,239.0,488.0,318.0,70.8535265334,3180.0,10
138,275.0,452.0,355.6,64.3414502651,3556.0,10
93,213.0,316.0,271.384615385,30.1649312435,3528.0,13
24,109.0,430.0,268.7,109.047441256,2687.0,10
25,226.0,329.0,292.888888889,40.5722948711,2636.0,9
26,175.0,572.0,270.8,119.972033778,2708.0,10
27,172.0,573.0,341.111111111,129.430912502,3070.0,9
21,135.0,135.0,135.0,0.0,135.0,1
22,141.0,362.0,242.625,65.5066790488,1941.0,8
23,100.0,411.0,281.625,106.798792797,2253.0,8
914,249.0,659.0,384.3,129.631143377,3843.0,10
28,306.0,707.0,461.25,140.335058241,3690.0,8
29,218.0,649.0,458.888888889,115.892670653,4130.0,9
94,251.0,361.0,308.272727273,41.3305961948,3391.0,11
321,188.0,416.0,315.1,85.4432235139,3151.0,10
97,220.0,324.0,276.785714286,33.7756821293,3875.0,14
324,185.0,376.0,292.111111111,57.5292196289,2629.0,9
810,237.0,842.0,487.25,219.40422577,3898.0,8
1520,225.0,366.0,310.083333333,42.5001782527,3721.0,12
812,249.0,356.0,309.0,37.273761996,2163.0,7
813,20.0,334.0,233.75,111.077514762,1870.0,8
814,250.0,793.0,400.0,162.469826258,4000.0,10
815,231.0,877.0,505.3,249.566757936,5053.0,10
619,305.0,641.0,462.625,109.799736534,3701.0,8
1521,175.0,418.0,307.461538462,78.0241579946,3997.0,13
1317,247.0,476.0,367.181818182,76.1194038098,4039.0,11
1316,183.0,430.0,332.307692308,77.2230369508,4320.0,13
1315,199.0,416.0,344.333333333,57.298791568,4132.0,12
1314,165.0,367.0,272.181818182,70.4000258264,2994.0,11
1313,132.0,556.0,317.071428571,109.228387608,4439.0,14
1312,221.0,384.0,290.8,55.525369577,2908.0,10
1311,172.0,408.0,252.142857143,76.5951011737,1765.0,7
1310,252.0,432.0,374.454545455,60.8200026905,4119.0,11
717,190.0,765.0,447.727272727,159.983805999,4925.0,11
716,241.0,354.0,293.666666667,46.438130884,2643.0,9
